U103,S209,A302,1495130523,1465230523,1465130523,U,ST404,0,1,1
U106,S205,A303,1465230523,1485130523,1485130523,A,ST407,2,1,0
U102,S202,A305,1495130523,1475130523,1475130523,AU,ST406,3,1,0
U103,S205,A301,1475130523,1485130523,1465130523,AP,ST404,0,0,0
U101,S203,A302,1475130523,1465130523,1475130523,AP,ST408,3,0,0
,S201,A301,1465130523,1465130523,1475130523,U,ST402,0,0,1
U112,S202,A303,1475130523,1475130523,1465230523,U,ST402,2,0,0
U116,S202,A304,1495130523,1475130523,1485130523,AP,ST408,2,1,1
U105,S204,A305,1475130523,1485130523,1465130523,,ST408,3,0,0
U100,S207,,1465230523,1465230523,1465230523,AU,ST403,3,1,1
U108,S200,A301,1495130523,1475130523,1475130523,AU,ST408,2,1,0
U103,S201,A305,1465130523,1465130523,1465130523,AU,ST407,3,0,1
U109,S200,A305,1495130523,1465130523,1465230523,AU,ST408,0,0,1
U114,S207,A305,1465230523,1465230523,1475130523,U,ST401,0,0,1
U100,S200,A300,1465230523,1465230523,1475130523,AP,ST410,1,0,1
U108,S210,A305,1495130523,1465130523,1465230523,AU,ST414,1,0,0
U119,S203,A301,1465130523,1475130523,1465130523,AP,ST409,0,0,0
U102,S210,A304,1465130523,1465230523,1485130523,U,ST412,0,1,0
U120,S210,A305,1495130523,1465130523,1465230523,U,ST414,3,1,1
U114,S204,A301,1475130523,1475130523,1485130523,AP,ST412,0,1,1
