U114,S209,A304,1465230523,1465130523,1465130523,E,ST400,0,1,1
U108,S201,A302,1465230523,1465230523,1465130523,AP,ST409,0,0,0
U110,S202,A305,1465230523,1475130523,1465230523,A,ST401,3,0,1
U110,S200,A301,1465130523,1465130523,1465130523,AP,ST414,1,1,0
U100,S210,A303,1475130523,1485130523,1465130523,E,ST404,2,1,1
,S200,A305,1465130523,1465230523,1475130523,E,ST414,3,1,0
U104,S205,A303,1475130523,1465230523,1465230523,AP,ST408,2,0,1
U112,S205,A305,1465230523,1485130523,1465130523,AP,ST411,2,1,1
U119,S208,A305,1495130523,1465230523,1465130523,,ST405,2,1,0
U109,S210,,1465230523,1485130523,1475130523,E,ST403,3,0,1
U113,S207,A301,1475130523,1465230523,1485130523,U,ST404,1,1,1
U118,S206,A303,1475130523,1465130523,1465230523,AU,ST402,3,0,1
U106,S203,A305,1495130523,1465130523,1475130523,A,ST415,3,1,1
U111,S203,A303,1465130523,1485130523,1465230523,AP,ST412,2,1,1
U104,S201,A301,1465230523,1465230523,1475130523,U,ST405,0,0,0
U106,S200,A303,1465130523,1475130523,1475130523,AU,ST405,2,1,0
U116,S202,A304,1465130523,1465130523,1485130523,AP,ST407,1,1,1
U104,S210,A304,1465230523,1465130523,1465230523,AP,ST414,3,1,1
U104,S205,A302,1465230523,1485130523,1465230523,AU,ST404,3,0,1
U105,S206,A305,1475130523,1485130523,1465230523,E,ST412,2,0,0
